key,common,scientific,class,rank
black_footed_albatross,Black-footed Albatross,Phoebastria nigripes,Aves,species
laysan_albatross,Laysan Albatross,Phoebastria immutabilis,Aves,species
sooty_albatross,Sooty Albatross,Phoebetria fusca,Aves,species
groove_billed_ani,Groove-billed Ani,Crotophaga sulcirostris,Aves,species
crested_auklet,Crested Auklet,Aethia cristatella,Aves,species
least_auklet,Least Auklet,Aethia pusilla,Aves,species
parakeet_auklet,Parakeet Auklet,Aethia psittacula,Aves,species
rhinoceros_auklet,Rhinoceros Auklet,Cerorhinca monocerata,Aves,species
brewer_blackbird,Brewer’s Blackbird,Euphagus cyanocephalus,Aves,species
red_winged_blackbird,Red-winged Blackbird,Agelaius phoeniceus,Aves,species
rusty_blackbird,Rusty Blackbird,Euphagus carolinus,Aves,species
yellow_headed_blackbird,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Aves,species
bobolink,Bobolink,Dolichonyx oryzivorus,Aves,species
indigo_bunting,Indigo Bunting,Passerina cyanea,Aves,species
lazuli_bunting,Lazuli Bunting,Passerina amoena,Aves,species
painted_bunting,Painted Bunting,Passerina ciris,Aves,species
cardinal,Northern Cardinal,Cardinalis cardinalis,Aves,species
spotted_catbird,Spotted Catbird,Ailuroedus maculosus,Aves,species
gray_catbird,Gray Catbird,Dumetella carolinensis,Aves,species
yellow_breasted_chat,Yellow-breasted Chat,Icteria virens,Aves,species
eastern_towhee,Eastern Towhee,Pipilo erythrophthalmus,Aves,species
chuck_will_widow,Chuck-will’s-widow,Antrostomus carolinensis,Aves,species
brandt_cormorant,Brandt’s Cormorant,Phalacrocorax penicillatus,Aves,species
red_faced_cormorant,Red-faced Cormorant,Phalacrocorax urile,Aves,species
pelagic_cormorant,Pelagic Cormorant,Phalacrocorax pelagicus,Aves,species
bronzed_cowbird,Bronzed Cowbird,Molothrus aeneus,Aves,species
shiny_cowbird,Shiny Cowbird,Molothrus bonariensis,Aves,species
brown_creeper,Brown Creeper,Certhia americana,Aves,species
american_crow,American Crow,Corvus brachyrhynchos,Aves,species
fish_crow,Fish Crow,Corvus ossifragus,Aves,species
black_billed_cuckoo,Black-billed Cuckoo,Coccyzus erythropthalmus,Aves,species
mangrove_cuckoo,Mangrove Cuckoo,Coccyzus minor,Aves,species
yellow_billed_cuckoo,Yellow-billed Cuckoo,Coccyzus americanus,Aves,species
gray_crowned_rosy_finch,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Aves,species
purple_finch,Purple Finch,Haemorhous purpureus,Aves,species
northern_flicker,Northern Flicker,Colaptes auratus,Aves,species
acadian_flycatcher,Acadian Flycatcher,Empidonax virescens,Aves,species
